week	page	idx	width	height	file	report
1	2	1	490	765	w01_p02_01_490x765.jpg	[2026 졸업작품 감염-죽음의 도시 1주차 박신우].pdf
1	2	2	801	811	w01_p02_02_801x811.jpg	[2026 졸업작품 감염-죽음의 도시 1주차 박신우].pdf
1	3	1	423	363	w01_p03_01_423x363.jpg	[2026 졸업작품 감염-죽음의 도시 1주차 박신우].pdf
2	1	1	912	586	w02_p01_01_912x586.jpg	[2026 졸업작품 감염-죽음의 도시 2주차 박신우].pdf
2	2	1	821	948	w02_p02_01_821x948.jpg	[2026 졸업작품 감염-죽음의 도시 2주차 박신우].pdf
2	2	2	890	248	w02_p02_02_890x248.jpg	[2026 졸업작품 감염-죽음의 도시 2주차 박신우].pdf
2	3	1	1248	977	w02_p03_01_1248x977.jpg	[2026 졸업작품 감염-죽음의 도시 2주차 박신우].pdf
2	3	2	339	355	w02_p03_02_339x355.jpg	[2026 졸업작품 감염-죽음의 도시 2주차 박신우].pdf
3	2	1	687	446	w03_p02_01_687x446.jpg	[2026 졸업작품 감염-죽음의 도시 3주차 박신우].pdf
3	2	2	977	510	w03_p02_02_977x510.jpg	[2026 졸업작품 감염-죽음의 도시 3주차 박신우].pdf
3	3	1	602	491	w03_p03_01_602x491.jpg	[2026 졸업작품 감염-죽음의 도시 3주차 박신우].pdf
3	3	2	1078	642	w03_p03_02_1078x642.jpg	[2026 졸업작품 감염-죽음의 도시 3주차 박신우].pdf
4	1	1	855	830	w04_p01_01_855x830.jpg	[2026 졸업작품 감염-죽음의 도시 4주차 박신우].pdf
4	1	2	798	917	w04_p01_02_798x917.jpg	[2026 졸업작품 감염-죽음의 도시 4주차 박신우].pdf
4	1	3	667	336	w04_p01_03_667x336.jpg	[2026 졸업작품 감염-죽음의 도시 4주차 박신우].pdf
5	2	1	887	687	w05_p02_01_887x687.jpg	[2026 졸업작품 감염-죽음의 도시 5주차 박신우].pdf
5	3	1	725	144	w05_p03_01_725x144.jpg	[2026 졸업작품 감염-죽음의 도시 5주차 박신우].pdf
5	3	2	325	294	w05_p03_02_325x294.jpg	[2026 졸업작품 감염-죽음의 도시 5주차 박신우].pdf
5	4	1	791	793	w05_p04_01_791x793.jpg	[2026 졸업작품 감염-죽음의 도시 5주차 박신우].pdf
5	4	2	534	375	w05_p04_02_534x375.jpg	[2026 졸업작품 감염-죽음의 도시 5주차 박신우].pdf
5	5	1	294	458	w05_p05_01_294x458.jpg	[2026 졸업작품 감염-죽음의 도시 5주차 박신우].pdf
6	2	1	211	332	w06_p02_01_211x332.jpg	[2026 졸업작품 감염-죽음의 도시 6주차 박신우].pdf
6	2	2	724	191	w06_p02_02_724x191.jpg	[2026 졸업작품 감염-죽음의 도시 6주차 박신우].pdf
6	2	3	258	395	w06_p02_03_258x395.jpg	[2026 졸업작품 감염-죽음의 도시 6주차 박신우].pdf
6	3	1	788	135	w06_p03_01_788x135.jpg	[2026 졸업작품 감염-죽음의 도시 6주차 박신우].pdf
6	3	2	963	843	w06_p03_02_963x843.jpg	[2026 졸업작품 감염-죽음의 도시 6주차 박신우].pdf
6	3	3	265	472	w06_p03_03_265x472.jpg	[2026 졸업작품 감염-죽음의 도시 6주차 박신우].pdf
7	2	1	594	347	w07_p02_01_594x347.jpg	[2026 졸업작품 감염-죽음의 도시 7주차 박신우].pdf
7	2	2	1187	760	w07_p02_02_1187x760.jpg	[2026 졸업작품 감염-죽음의 도시 7주차 박신우].pdf
7	2	3	1141	137	w07_p02_03_1141x137.jpg	[2026 졸업작품 감염-죽음의 도시 7주차 박신우].pdf
7	3	1	848	671	w07_p03_01_848x671.jpg	[2026 졸업작품 감염-죽음의 도시 7주차 박신우].pdf
7	3	2	1095	301	w07_p03_02_1095x301.jpg	[2026 졸업작품 감염-죽음의 도시 7주차 박신우].pdf
7	3	3	544	695	w07_p03_03_544x695.jpg	[2026 졸업작품 감염-죽음의 도시 7주차 박신우].pdf
7	4	1	416	385	w07_p04_01_416x385.jpg	[2026 졸업작품 감염-죽음의 도시 7주차 박신우].pdf
7	4	2	754	518	w07_p04_02_754x518.jpg	[2026 졸업작품 감염-죽음의 도시 7주차 박신우].pdf
9	1	1	1538	531	w09_p01_01_1538x531.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	1	2	1541	519	w09_p01_02_1541x519.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	2	1	811	262	w09_p02_01_811x262.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	2	2	697	702	w09_p02_02_697x702.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	2	3	776	97	w09_p02_03_776x97.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	3	2	560	200	w09_p03_02_560x200.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	3	3	907	271	w09_p03_03_907x271.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	3	4	628	144	w09_p03_04_628x144.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	4	1	855	635	w09_p04_01_855x635.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	4	2	757	785	w09_p04_02_757x785.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	5	1	1071	1045	w09_p05_01_1071x1045.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	5	2	816	565	w09_p05_02_816x565.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	5	3	551	360	w09_p05_03_551x360.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	6	1	906	590	w09_p06_01_906x590.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	6	2	492	399	w09_p06_02_492x399.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
9	6	3	583	531	w09_p06_03_583x531.jpg	[2026 졸업작품 감염-죽음의 도시 9주차 박신우].pdf
10	1	1	1399	130	w10_p01_01_1399x130.jpg	[2026 졸업작품 감염-죽음의 도시 10주차 박신우].pdf
10	1	2	1426	1081	w10_p01_02_1426x1081.jpg	[2026 졸업작품 감염-죽음의 도시 10주차 박신우].pdf
10	2	1	634	918	w10_p02_01_634x918.jpg	[2026 졸업작품 감염-죽음의 도시 10주차 박신우].pdf
10	3	1	1375	813	w10_p03_01_1375x813.jpg	[2026 졸업작품 감염-죽음의 도시 10주차 박신우].pdf
10	3	2	997	588	w10_p03_02_997x588.jpg	[2026 졸업작품 감염-죽음의 도시 10주차 박신우].pdf
10	4	1	1117	366	w10_p04_01_1117x366.jpg	[2026 졸업작품 감염-죽음의 도시 10주차 박신우].pdf
10	4	2	1043	497	w10_p04_02_1043x497.jpg	[2026 졸업작품 감염-죽음의 도시 10주차 박신우].pdf
10	5	1	1013	250	w10_p05_01_1013x250.jpg	[2026 졸업작품 감염-죽음의 도시 10주차 박신우].pdf
10	5	2	828	215	w10_p05_02_828x215.jpg	[2026 졸업작품 감염-죽음의 도시 10주차 박신우].pdf
10	5	3	942	234	w10_p05_03_942x234.jpg	[2026 졸업작품 감염-죽음의 도시 10주차 박신우].pdf
10	6	1	288	170	w10_p06_01_288x170.jpg	[2026 졸업작품 감염-죽음의 도시 10주차 박신우].pdf
11	2	1	524	313	w11_p02_01_524x313.jpg	[2026 졸업작품 감염-죽음의 도시 11주차 박신우].pdf
11	3	1	1571	267	w11_p03_01_1571x267.jpg	[2026 졸업작품 감염-죽음의 도시 11주차 박신우].pdf
11	3	2	534	414	w11_p03_02_534x414.jpg	[2026 졸업작품 감염-죽음의 도시 11주차 박신우].pdf
11	4	1	395	625	w11_p04_01_395x625.jpg	[2026 졸업작품 감염-죽음의 도시 11주차 박신우].pdf
11	4	2	436	708	w11_p04_02_436x708.jpg	[2026 졸업작품 감염-죽음의 도시 11주차 박신우].pdf
11	4	3	532	386	w11_p04_03_532x386.jpg	[2026 졸업작품 감염-죽음의 도시 11주차 박신우].pdf
11	5	1	234	366	w11_p05_01_234x366.jpg	[2026 졸업작품 감염-죽음의 도시 11주차 박신우].pdf
11	5	2	253	378	w11_p05_02_253x378.jpg	[2026 졸업작품 감염-죽음의 도시 11주차 박신우].pdf
12	1	1	1204	231	w12_p01_01_1204x231.jpg	[2026 졸업작품 감염-죽음의 도시 12주차 박신우].pdf
12	1	2	490	214	w12_p01_02_490x214.jpg	[2026 졸업작품 감염-죽음의 도시 12주차 박신우].pdf
12	1	3	768	107	w12_p01_03_768x107.jpg	[2026 졸업작품 감염-죽음의 도시 12주차 박신우].pdf
12	2	1	1081	478	w12_p02_01_1081x478.jpg	[2026 졸업작품 감염-죽음의 도시 12주차 박신우].pdf
12	2	2	1181	333	w12_p02_02_1181x333.jpg	[2026 졸업작품 감염-죽음의 도시 12주차 박신우].pdf
12	2	3	809	114	w12_p02_03_809x114.jpg	[2026 졸업작품 감염-죽음의 도시 12주차 박신우].pdf
12	3	1	611	662	w12_p03_01_611x662.jpg	[2026 졸업작품 감염-죽음의 도시 12주차 박신우].pdf
12	3	3	768	367	w12_p03_03_768x367.jpg	[2026 졸업작품 감염-죽음의 도시 12주차 박신우].pdf
12	4	1	748	392	w12_p04_01_748x392.jpg	[2026 졸업작품 감염-죽음의 도시 12주차 박신우].pdf
12	4	2	947	555	w12_p04_02_947x555.jpg	[2026 졸업작품 감염-죽음의 도시 12주차 박신우].pdf
12	4	3	762	639	w12_p04_03_762x639.jpg	[2026 졸업작품 감염-죽음의 도시 12주차 박신우].pdf
13	1	1	1047	724	w13_p01_01_1047x724.jpg	[2026 졸업작품 감염-죽음의 도시 13주차 박신우].pdf
13	1	2	721	489	w13_p01_02_721x489.jpg	[2026 졸업작품 감염-죽음의 도시 13주차 박신우].pdf
13	2	1	931	601	w13_p02_01_931x601.jpg	[2026 졸업작품 감염-죽음의 도시 13주차 박신우].pdf
13	2	2	753	123	w13_p02_02_753x123.jpg	[2026 졸업작품 감염-죽음의 도시 13주차 박신우].pdf
13	2	3	657	200	w13_p02_03_657x200.jpg	[2026 졸업작품 감염-죽음의 도시 13주차 박신우].pdf
13	3	1	771	90	w13_p03_01_771x90.jpg	[2026 졸업작품 감염-죽음의 도시 13주차 박신우].pdf
13	3	2	1333	334	w13_p03_02_1333x334.jpg	[2026 졸업작품 감염-죽음의 도시 13주차 박신우].pdf
